"station_name","lat","lon"
"BAFANG",5.1502,10.1669
"BAFIA",4.7333333333,11.25
"BAFOUSSAM",5.5166,10.35
"BAGANGTE",5.1502,10.5169
"BAHAM",5.3336,10.3669
"BAMENDA AIRPORT",6.05,10.1166666667
"BAMENDA UP STATION",5.963,10.1591
"BANDA",8.1996,13.6428
"BANDJOUN",5.35,10.4
"BANGEM",5.0833,9.7666
"BANYO",6.7833333333,11.8166666667
"BATOURI",4.4666666667,14.3666666667
"BERTOUA-VILLE",4.6,13.7333333333
"BETARE-OYA",5.6,14.0666666667
"BOUMBA A BIWALA",3.220555,14.920527
"DDT Kousseri",12.08528,14.983
"DJA A BI",2.8,13.35
"DJA A NKOLDJA",2.83278,13.22944
"DJA A SOMALOMO",3.36667,12.73333
"DOUALA OBS.",4,9.7333333333
"DOUALA R.S.",4.0166666667,9.7
"DSCHANG",5.4333333333,10.05
"Dargala",10.53,14.6002
"EBE A BI",2.77728,13.3714
"EBOLOWA",2.9167,11.1333
"EDEA",4.7669,10.0669
"ENSP Kousseri",12.06389,15.03417
"ESEKA",3.6336,10.7669
"FUNDONG",6.4002,10.1669
"GAROUA",9.3333333333,13.3833333333
"GAROUA RS",9.3333,13.3667
"GUIDER",9.9333333333,13.95
"KADEI A PANA",4.2,14.68333
"KAELE",10.0833333333,14.4333333333
"KOUNDJA",5.65,10.75
"KOUSSERI",12.0833,15.0333
"KRIBI",2.95,9.9
"KUMBA",4.6333,9.45
"KUMBO",6.2002,10.6669
"Kimbi-fungom",6.6053,10.4282
"LOMIE",3.15,13.6166666667
"MAMFE",5.7166666667,9.2833333333
"MAROUA-SALAK",10.45,14.25
"MAYO KEBI ACOSSI",9.5944,13.8642
"MBALMAYO",3.5155,11.5008
"MBENGWI",6.0169,10.0002
"MBOUDA",5.6166,10.25
"MEIGANGA",6.5333333333,14.3666666667
"MENJI",5.7,10.05
"MOKOLO",10.7424,13.8042
"MONATELE",4.2333333333,11.1833333333
"MORA",11.0336,14.1336
"MUNDEMBA",4.95,8.8666
"Mindif",10.39667,14.4436
"NANGA-EBOKO",4.6833,12.3666
"NDOP",6.0002,10.4149
"NGAOUNDERE",7.35,13.5666666667
"NGOUMOU",3.75,11.3666
"NIETE PLCAD",2.717,10.064
"NIETE PLDEAMA",2.722,10.081
"NIETE PLPEPINIERE",2.713,10.071
"NIETE PLV10",2.659,10.033
"NIETE PLV11",2.779,10.135
"NIETE PLV12",2.678,10.15
"NIETE PLV13",2.682,10.075
"NIETE PLV14",2.632,10.068
"NIETE PLV15",2.585,10.056
"NIETE PLV3",2.74,10.058
"NIETE PLV4",2.74,10.093
"NIETE PLV5",2.781,10.094
"NIETE PLV6",2.734,10.144
"NIETE PLV8",2.659,10.104
"NIETE PLV9",2.707,10.015
"NKAMBE",6.6336,10.6669
"NKONGSAMBA",4.95,9.9333333333
"PETTE",10.964772,14.4975
"POLI",8.4833333333,13.25
"SANGMELIMA",2.9333,11.9833
"SEMRY-YAGOUA",10.3486,15.2433
"TIBATI",6.4666666667,12.6166666667
"TIKO",4.0833333333,9.3666666667
"Tchatibali",10.04361,14.9275
"WAZA1",11.37828,14.55488
"WAZA2",11.5021,14.7274
"WUM",6.3836,10.0669
"YABASSI",4.65,10
"YAGOUA",10.347021,15.237034
"YAOUNDE-NSIMALEN",3.7202,11.502
"YAOUNDE-VILLE",3.8333333333,11.5166666667
